STT		Mã MH	Tên MH	Số tín chỉ	BB/TC	
104		AS7147	Tiểu luận tổng quan	0.0		
105		AS7149	Chuyên đề tiến sĩ - phần 1	0.0		
106		AS7151	Chuyên đề tiến sĩ - phần 2	0.0		
107		AS7153	Luận án tiến sĩ - chuẩn bị	12.0		
108		AS7155	Luận án tiến sĩ - phần 1	15.0		
109		AS7157	Luận án tiến sĩ - phần 2	15.0		
110		AS7159	Luận án tiến sĩ - phần 3	15.0		
111		AS7161	Luận án tiến sĩ - phần 4	15.0		
112		AS7163	Luận án tiến sĩ - phần 5	15.0		
113		AS7165	Tiểu luận tổng quan	0.0		
114		AS7167	Chuyên đề tiến sĩ - phần 1	0.0		
115		AS7169	Chuyên đề tiến sĩ - phần 2	0.0		
116		AS7171	Luận án tiến sĩ - chuẩn bị	12.0		
117		AS7173	Luận án tiến sĩ - phần 1	15.0		
118		AS7175	Luận án tiến sĩ - phần 2	15.0		
119		AS7177	Luận án tiến sĩ - phần 3	15.0		
120		AS7179	Luận án tiến sĩ - phần 4	15.0		
121		AS7181	Luận án tiến sĩ - phần 5	15.0		
122		CH1005	Hóa lý hóa keo	3.0		
123		CH2003	Hóa lý 1	3.0		
124		CH2015	Các qtrình kthuật shọc 1	3.0		
125		CH2019	Quátrình &thiết bị cơhọc	3.0		
126		CH201E	Quátrình &th/bị cơhọc(mr	0.0		
127		CH2035	Kỹ thuật thực phẩm 2	3.0		
128		CH2039	Kỹ thuật thực phẩm 3	3.0		
129		CH2041	Thí nghiệm hóa lý	2.0		
130		CH2043	Q/tr & th/bị truyềnnhiệt	3.0		
131		CH2045	Vi sinh thực phẩm	3.0		
132		CH204B	Q/tr & th/bị tr/nhiệt(mr	0.0		
133		CH2051	Q/trình &tbị truyền khối	3.0		
134		CH2053	Thi Nghiem Hoa Huu Co	2.0		
135		CH2109	Hóa lý 2	3.0		
136		CH210E	Hóa lý 2 (mr)	0.0		
137		CH2111	Thí nghiệm hóa hữu cơ cb	1.0		
138		CH2113	Hóa phân tích	3.0		
139		CH2115	Thí nghiệm hóa phân tích	1.0		
140		CH2155	Thí nghiệm Hóa phân tích	2.0		
141		CH2159	Thí nghiệm vi sinh thực phẩm	2.0		
142		CH3001	Thí nghiệm visinh t/phẩm	2.0		
143		CH3015	T/n quá trình thiết bị	2.0		
144		CH3017	Côngnghệ chếbiến th/phẩm	3.0		
145		CH3053	Thiết kế nhàmáy thựcphẩm	3.0		
146		CH3133	Mô hình hóa,mp &tưh CNHH	3.0		
147		CH3321	Thiết kế hệ thống qtcnhh	3.0		
148		CH3327	Hóa keo	3.0		
149		CH3329	Các p/pháp phân tích hđ	3.0		
150		CH332A	T/kế hệ thống qtcnhh(mr)	0.0		
151		CH3331	Cs vậtliệu &bảo vệ ănmòn	3.0		
152		CH3337	Tổng hợp hữu cơ hóa dầu	3.0		
153		CH3341	Cơsở điều khiển quátrình	3.0		
154		CH3347	Kỹ thuật phản ứng	3.0		
155		CH3349	Cơ sở tính toán tk tb hh	3.0		
156		CH3379	T/h p/tích t/phẩm A	2.0		
157		CH3389	P/triển bền vững &cnxlmt	4.0		
158		CH3421	Cơ sở kỹ thuật mỹ phẩm	3.0		
159		CH4001	Thí nghiệm c/nghệ cbtp	2.0		
160		CH4007	Đồ án thiếtkế kỹ thuậthh	2.0		
161		CH4053	Đồ án chuyên ngành	2.0		
162		CH4057	Đồ án công nghệ sinh học	2.0		
163		CH4061	K/thuật đường ống bểchứa	3.0		
164		CH4063	Thiết kế P&ID	3.0		
165		CH4079	Hóa học xanh	3.0		
166		CH4081	C/nghệ sx pb&các hc vôcơ	3.0		
167		CH4085	H/học &c/nghệ chất hđbm	3.0		
168		CH4087	Các pp vậtlý nc chất rắn	3.0		
169		CH4091	Hóa học nano và ứng dụng	3.0		
170		CH4095	Đồ án chuyên ngành	2.0		
171		CH4097	An toàn sh &at thực phẩm	3.0		
172		CH4099	Đồ án thiết kế nhàmáy tp	2.0		
173		CH4103	Đồ án chuyên ngành	2.0		
174		CH4113	Kỹ thuật bao gói t/phẩm	3.0		
175		CH4115	Công nghệ sau thu hoạch	3.0		
176		CH4125	Độc chất học	3.0		
177		CH4127	Cong nghe che bien khi thien nhien	3.0		
178		CH4129	Công nghệ lọc và cb dầu	3.0		
179		CH4131	Thiết bị đo lường và điều khiển	3.0		
180		CH4137	CN dẫn truyền thuốc dpmp	3.0		
181		CH4145	Kiểm nghiệm dược phẩm	3.0		
182		CH4151	Mỹ phẩm chức năng	3.0		
183		CH4153	TK&phát triển SP mỹ phẩm	3.0		
184		CH4311	Đề cương luận văn tn	0.0		
185		CH4313	Luận văn tốt nghiệp(cbdk	9.0		
186		CH4321	Đề cương luận văn tn	0.0		
187		CH4323	Luận văn tốt nghiệp (hly	9.0		
188		CH4325	Đề cương luận văn tn	0.0		
189		CH4327	Luận văn tốt nghiệp	9.0		
190		CH4331	Đề cương luận văn tn	0.0		
191		CH4333	Luận văn tốt nghiệp(cntp	9.0		
192		CH4335	Đề cương luận văn tn	0.0		
193		CH4337	Luận văn tốt nghiệp(cntp	9.0		
194		CH4341	Đề cương luận văn tn	0.0		
195		CH4343	Luận văn tốt nghiệp (hvc	9.0		
196		CH4345	Đề cương luận văn tn	0.0		
197		CH4347	Luận văn tốt nghiệp (csh	9.0		
198		CH4351	Đề cương luận văn tn	0.0		
199		CH4353	Luận văn tốt nghiệp(qttb	9.0		
200		CH4357	Đồ án tốt nghiệp	4.0		
201		CH4361	Đề cương luận văn tn	0.0		
202		CH4363	Luận văn tốt nghiệp	9.0		
203		CH4367	Đồ án tốt nghiệp	4.0		
204		CH4371	Đề cương luận văn tn	0.0		
205		CH4373	Luận văn tốt nghiệp	9.0		
206		CH4377	Đồ án tốt nghiệp	4.0		
207		CH4381	Đề cương luận văn tn	0.0		
208		CH4383	Luận văn tốt nghiệp(hdp)	9.0		
209		CH4391	Đề cương luận văn tn	0.0		
210		CH4393	Luận văn tốt nghiệp	9.0		
211		CH43A1	Đề cương luận văn tn	0.0		
212		CH43A3	Luận văn tốt nghiệp	9.0		
213		CH43B1	Đề cương luận văn tn	0.0		
214		CH43B3	Luận văn tốt nghiệp (csh	9.0		
215		CH43C1	Đề cương luận văn tn	0.0		
216		CH43C3	Luận văn tốt nghiệp	9.0		
217		CH43D1	Đề cương luận văn tn	0.0		
218		CH43D3	Luận văn tốt nghiệp	9.0		
219		CH43E1	Đề cương luận văn tn	0.0		
220		CH43E3	Luận văn tốt nghiệp	9.0		
221		CH5311	Lý thuyết truyền vận	3.0		
222		CH5373	Công nghệ phân lập và tinh chế hợp chất tự nhiên	3.0		
223		CH5405	Hệ thống điều khiển và an toàn nhà máy	3.0		
224		CH5407	Luật và quản trị an ninh thực phẩm	3.0		
225		CH5427	Công nghệ điện hóa và các hệ chuyển hoá năng lượng	3.0		
226		CH5435	Các công nghệ tiên tiến trong công nghiệp thực phẩm	3.0		
227		CH5485	Độc tố học thực phẩm	3.0		
228		CH5509	Khoa học cảm quan	3.0		
229		CH5597	Thực tập 1	3.0		
230		CH5599	Thực tập 2	3.0		
231		CH5601	Thiết kế P&ID trong công nghiệp	3.0		
232		CH5603	Công nghệ chất hoạt động bề mặt trong công nghiệp	3.0		
233		CH5605	Tự động hóa quá trình hóa học trong công nghiệp	3.0		
234		CH5607	Xúc tác và quá trình xúc tác công nghiệp	3.0		
235		CH5611	Nhiên liệu sinh học và nhiên liệu thay thế trong công nghiệp	3.0		
236		CH5615	Tối ưu hóa và vận hành các quy trình công nghệ hóa học	3.0		
237		CH5617	Công nghệ vận chuyển và tồn trữ trong công nghiệp hóa học	3.0		
238		CH5623	Vật liệu mao quản - từ tự nhiên đến công nghiệp	3.0		
239		CH5625	Độc chất học và ứng dụng trong công nghiệp	3.0		
240		CH5635	Các chiến lược thực tiễn trong phân tích định tính và định lượng	3.0		
241		CH5647	Các phương pháp nghiên cứu cấu trúc của vật liệu	3.0		
242		CH5653	Sản xuất sạch hơn trong công nghiệp	3.0		
243		CH5659	Vận hành và điều khiển quá trình bằng máy tính	3.0		
244		CH5671	Sản xuất công nghiệp các chất có hoạt tính sinh học	3.0		
245		CH5677	Thực tập Công nghệ sinh học 1	3.0		
246		CH5679	Thực tập Công nghệ sinh học 2	3.0		
247		CH5683	Hóa học và hóa sinh thực phẩm nâng cao	3.0		
248		CH5685	Vi sinh thực phẩm nâng cao	3.0		
249		CH5699	Hóa hữu cơ nâng cao	3.0		
250		CH5703	Nhiệt động kỹ thuật hóa học	3.0		
251		CH5711	Các phương pháp phân tích công cụ	3.0		
252		CH5721	Công nghiệp công nghệ sinh học	3.0		
253		CH5723	Kỹ thuật di truyền vi sinh vật	3.0		
254		CH5731	Công nghệ sinh học nông nghiệp	3.0		
255		CH5739	Công nghệ sinh học thực phẩm	3.0		
256		CH5745	Những tiến bộ về chế phẩm bổ sung vào thực phẩm	3.0		
257		CH5749	Công nghệ sản xuất sản phẩm từ sữa và thức uống pha chế	3.0		
258		CH5755	Công nghệ chế biến trà, cà phê, ca cao	3.0		
259		CH5767	Truy xuất nguồn gốc thực phẩm	3.0		
260		CH6023	Luận văn thạc sỹ - UD	12.0		
261		CH6041	Đề án tốt nghiệp	9.0		
262		CH6043	Chuyên đề nghiên cứu trước luận văn	15.0		
263		CH6045	Luận văn thạc sĩ nghiên cứu	15.0		
264		CH6047	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 1	9.0		
265		CH6049	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 2	15.0		
266		CH6051	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 3	15.0		
267		CH6053	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 4	15.0		
268		CH6055	Đề án tốt nghiệp	9.0		
269		CH6057	Chuyên đề nghiên cứu trước luận văn	15.0		
270		CH6059	Luận văn thạc sĩ nghiên cứu	15.0		
271		CH6061	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 1	9.0		
272		CH6063	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 2	15.0		
273		CH6065	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 3	15.0		
274		CH6067	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 4	15.0		
275		CH6069	Đề án tốt nghiệp	9.0		
276		CH6071	Chuyên đề nghiên cứu trước luận văn	15.0		
277		CH6073	Luận văn thạc sĩ nghiên cứu	15.0		
278		CH6075	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 1	9.0		
