STT		Mã MH	Tên MH	Số tín chỉ	BB/TC	
471		CI5373	Nền móng	3.0		
472		CI5379	Phương pháp phần tử hữu hạn	3.0		
473		CI5381	Cơ kết cấu	3.0		
474		CI5387	Thiết kế và công nghệ xây dựng cầu bê tông cốt thép	3.0		
475		CI5389	Thiết kế và công nghệ xây dựng cầu thép	3.0		
476		CI5403	Kỹ thuật và Công nghệ thi công xây dựng	3.0		
477		CI5405	Tổ chức Thi công công trình xây dựng	3.0		
478		CI5407	Quản lý Dự án xây dựng	3.0		
479		CI5409	Nguyên lý kinh tế và Luật xây dựng	3.0		
480		CI5451	Quản lý kinh doanh xây dựng	3.0		
481		CI5771	Phân tích phi tuyến kết cấu	3.0		
482		CI5775	Kết cấu thép-bê tông liên hợp	3.0		
483		CI5779	Vật liệu xây dựng nâng cao	3.0		
484		CI5781	Kỹ thuật bê tông nâng cao	3.0		
485		CI5799	Động lực học hình thái vùng ven biển	3.0		
486		CI5805	Kết cấu thép nâng cao	3.0		
487		CI6099	Đồ án tốt nghiệp	9.0		
488		CI6101	Đề án tốt nghiệp	9.0		
489		CI6102	Chuyên đề nghiên cứu trước luận văn	15.0		
490		CI6103	Luận văn thạc sĩ nghiên cứu	15.0		
491		CI6104	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 1	9.0		
492		CI6105	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 2	15.0		
493		CI6106	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 3	15.0		
494		CI6107	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 4	15.0		
495		CI6108	Đề án tốt nghiệp	9.0		
496		CI6109	Chuyên đề nghiên cứu trước luận văn	15.0		
497		CI6110	Luận văn thạc sĩ nghiên cứu	15.0		
498		CI6111	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 1	9.0		
499		CI6112	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 2	15.0		
500		CI6113	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 3	15.0		
501		CI6114	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 4	15.0		
502		CI6115	Đề án tốt nghiệp	9.0		
503		CI6116	Chuyên đề nghiên cứu trước luận văn	15.0		
504		CI6117	Luận văn thạc sĩ nghiên cứu	15.0		
505		CI6118	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 1	9.0		
506		CI6119	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 2	15.0		
507		CI6120	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 3	15.0		
508		CI6121	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 4	15.0		
509		CI6122	Đề án tốt nghiệp	9.0		
510		CI6123	Chuyên đề nghiên cứu trước luận văn	15.0		
511		CI6124	Luận văn thạc sĩ nghiên cứu	15.0		
512		CI6125	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 1	9.0		
513		CI6126	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 2	15.0		
514		CI6127	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 3	15.0		
515		CI6128	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 4	15.0		
516		CI6129	Đề án tốt nghiệp	9.0		
517		CI6131	Luận văn thạc sĩ nghiên cứu	15.0		
518		CI6134	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 3	15.0		
519		CI7553	Tiểu luận tổng quan	0.0		
520		CI7555	Chuyên đề tiến sĩ - phần 1	0.0		
521		CI7557	Chuyên đề tiến sĩ - phần 2	0.0		
522		CI7559	Luận án tiến sĩ - chuẩn bị	12.0		
523		CI7561	Luận án tiến sĩ - phần 1	15.0		
524		CI7563	Luận án tiến sĩ - phần 2	15.0		
525		CI7565	Luận án tiến sĩ - phần 3	15.0		
526		CI7567	Luận án tiến sĩ - phần 4	15.0		
527		CI7569	Luận án tiến sĩ - phần 5	15.0		
528		CI7571	Tiểu luận tổng quan	0.0		
529		CI7573	Chuyên đề tiến sĩ - phần 1	0.0		
530		CI7575	Chuyên đề tiến sĩ - phần 2	0.0		
531		CI7577	Luận án tiến sĩ - chuẩn bị	12.0		
532		CI7579	Luận án tiến sĩ - phần 1	15.0		
533		CI7581	Luận án tiến sĩ - phần 2	15.0		
534		CI7583	Luận án tiến sĩ - phần 3	15.0		
535		CI7585	Luận án tiến sĩ - phần 4	15.0		
536		CI7587	Luận án tiến sĩ - phần 5	15.0		
537		CI7589	Tiểu luận tổng quan	0.0		
538		CI7591	Chuyên đề tiến sĩ - phần 1	0.0		
539		CI7593	Chuyên đề tiến sĩ - phần 2	0.0		
540		CI7595	Luận án tiến sĩ - chuẩn bị	12.0		
541		CI7597	Luận án tiến sĩ - phần 1	15.0		
542		CI7599	Luận án tiến sĩ - phần 2	15.0		
543		CI7611	Luận án tiến sĩ - phần 3	15.0		
544		CI7613	Luận án tiến sĩ - phần 4	15.0		
545		CI7615	Luận án tiến sĩ - phần 5	15.0		
546		CI7617	Tiểu luận tổng quan	0.0		
547		CI7619	Chuyên đề tiến sĩ - phần 1	0.0		
548		CI7621	Chuyên đề tiến sĩ - phần 2	0.0		
549		CI7623	Luận án tiến sĩ - chuẩn bị	12.0		
550		CI7625	Luận án tiến sĩ - phần 1	15.0		
551		CI7627	Luận án tiến sĩ - phần 2	15.0		
552		CI7629	Luận án tiến sĩ - phần 3	15.0		
553		CI7631	Luận án tiến sĩ - phần 4	15.0		
554		CI7633	Luận án tiến sĩ - phần 5	15.0		
555		CI7635	Tiểu luận tổng quan	0.0		
556		CI7637	Chuyên đề tiến sĩ - phần 1	0.0		
557		CI7639	Chuyên đề tiến sĩ - phần 2	0.0		
558		CI7641	Luận án tiến sĩ - chuẩn bị	12.0		
559		CI7643	Luận án tiến sĩ - phần 1	15.0		
560		CI7645	Luận án tiến sĩ - phần 2	15.0		
561		CI7647	Luận án tiến sĩ - phần 3	15.0		
562		CI7649	Luận án tiến sĩ - phần 4	15.0		
563		CI7651	Luận án tiến sĩ - phần 5	15.0		
564		CI7653	Tiểu luận tổng quan	0.0		
565		CI7655	Chuyên đề tiến sĩ - phần 1	0.0		
566		CI7657	Chuyên đề tiến sĩ - phần 2	0.0		
567		CI7659	Luận án tiến sĩ - chuẩn bị	12.0		
568		CI7661	Luận án tiến sĩ - phần 1	15.0		
569		CI7663	Luận án tiến sĩ - phần 2	15.0		
570		CI7665	Luận án tiến sĩ - phần 3	15.0		
571		CI7666	Luận án tiến sĩ - phần 4	15.0		
572		CI7669	Luận án tiến sĩ - phần 5	15.0		
573		CI7671	Tiểu luận tổng quan	0.0		
574		CI7673	Chuyên đề tiến sĩ - phần 1	0.0		
575		CI7675	Chuyên đề tiến sĩ - phần 2	0.0		
576		CI7677	Luận án tiến sĩ - chuẩn bị	12.0		
577		CI7679	Luận án tiến sĩ - phần 1	15.0		
578		CI7681	Luận án tiến sĩ - phần 2	15.0		
579		CI7683	Luận án tiến sĩ - phần 3	15.0		
580		CI7685	Luận án tiến sĩ - phần 4	15.0		
581		CI7687	Luận án tiến sĩ - phần 5	15.0		
582		CI7689	Tiểu luận tổng quan	0.0		
583		CI7691	Chuyên đề tiến sĩ - phần 1	0.0		
584		CI7693	Chuyên đề tiến sĩ - phần 2	0.0		
585		CI7695	Luận án tiến sĩ - chuẩn bị	12.0		
586		CI7697	Luận án tiến sĩ - phần 1	15.0		
587		CI7699	Luận án tiến sĩ - phần 2	15.0		
588		CI7701	Luận án tiến sĩ - phần 3	15.0		
589		CI7703	Luận án tiến sĩ - phần 4	15.0		
590		CI7705	Luận án tiến sĩ - phần 5	15.0		
591		CI7707	Tiểu luận tổng quan	0.0		
592		CI7709	Chuyên đề tiến sĩ - phần 1	0.0		
593		CI7711	Chuyên đề tiến sĩ - phần 2	0.0		
594		CI7713	Luận án tiến sĩ - chuẩn bị	12.0		
595		CI7715	Luận án tiến sĩ - phần 1	15.0		
596		CI7717	Luận án tiến sĩ - phần 2	15.0		
597		CI7719	Luận án tiến sĩ - phần 3	15.0		
598		CI7721	Luận án tiến sĩ - phần 4	15.0		
599		CI7723	Luận án tiến sĩ - phần 5	15.0		
600		CO1007	Cấutrúc rời rạc cho KHMT	4.0		
601		CO1029	Đồ án hệ thống số	1.0		
602		CO1031	Đồ án kỹ thuật lập trình	1.0		
603		CO2001	Kỹnăng chnghiệp cho kỹsư	3.0		
604		CO2011	Mô hình hóa toán học	3.0		
605		CO203E	Lập trình nâng cao (mr)	0.0		
606		CO2043	Đồ án lập trình nâng cao	1.0		
607		CO3001	Công nghệ phần mềm	3.0		
608		CO3005	Ng/lý ngôn ngữ lập trình	4.0		
609		CO300A	Công nghệ phần mềm (mr)	0.0		
610		CO300C	Ng/lý n/ngữ lập trình(mr	0.0		
611		CO3011	Quản lý dự án phần mềm	3.0		
612		CO3015	Kiểm tra phần mềm	3.0		
613		CO3017	Kiến trúc phần mềm	3.0		
614		CO3021	Hệ quản trị cơsở dữ liệu	3.0		
615		CO3027	Thương mại điện tử	3.0		
616		CO3029	Khai phá dữ liệu	3.0		
617		CO3041	Hệ thống thông minh	3.0		
618		CO3043	Phát triển ứd trên tbdđ	3.0		
619		CO3045	Lập trình game	3.0		
620		CO3055	Thực tập công nghệ pm	2.0		
621		CO3057	Xửlý ảnh số &thị giác mt	3.0		
622		CO3059	Đồ họa máy tính	3.0		
623		CO3061	Nhập môn trítuệ nhân tạo	3.0		
624		CO3065	C/nghệ phần mềm nâng cao	3.0		
625		CO3087	Thực tập đồ án đa ngành	2.0		
626		CO3091	Đồ án thiết kế luận lý	2.0		
627		CO3101	Đồ án tổng hợp - ttnt	1.0		
628		CO3103	Đồ án tổng hợp - cnpm	1.0		
629		CO3105	Đồ án tổng hợp - httt	1.0		
630		CO3107	T/tập ĐAMH đa ngành-ttnt	1.0		
631		CO3109	T/tập ĐAMH đa ngành-cnpm	1.0		
632		CO3111	T/tập ĐAMH đa ngành-httt	1.0		
633		CO3115	Phân tích và thiết kế ht	3.0		
634		CO3117	Học máy	3.0		
635		CO3119	Đồ án mạng máy tính	1.0		
636		CO3127	Đồ án tổng hợp - hktdl	1.0		
637		CO3133	Học sâu và ứng dụng	3.0		
638		CO3135	Lập trình cho trí tuệ nhân tạo và khoa học dữ liệu	3.0		
639		CO3141	Điện toán đám mây	3.0		
640		CO4029	Đồ án chuyên ngành	2.0		
641		CO4031	Kho d/liệu &hệ hỗ trợ qđ	3.0		
642		CO4033	P/tích dữ liệu lớn &ttkd	3.0		
643		CO4037	Hệ thống thông tin q/lý	3.0		
644		CO4041	Đồ án môn học kỹthuật mt	2.0		
645		CO4043	Đồ án chuyên ngành	2.0		
646		CO4311	Đề cương luận văn tn	0.0		
647		CO4313	Luận văn tốt nghiệp(khmt	9.0		
648		CO4315	Đề cương luận văn tn	0.0		
649		CO4317	Luận văn tốt nghiệp(khmt	9.0		
650		CO4321	Đề cương luận văn tn	0.0		
651		CO4323	Luận văn tốt nghiệp (ktm	9.0		
652		CO4325	Đề cương luận văn tn	0.0		
653		CO4327	Luận văn tốt nghiệp (ktm	9.0		
654		CO4331	Đề cương luận văn tn	0.0		
655		CO4333	Luận văn tốt nghiệp	9.0		
656		CO4337	Đồ án tốt nghiệp(khmt)	4.0		
657		CO4347	Đồ án tốt nghiệp (ktmt)	4.0		
658		CO4357	Đồ án tốt nghiệp(cntt)	4.0		
659		CO5075	Phát triển ứng dụng IoT	3.0		
660		CO5077	Bảo mật phần mềm	3.0		
661		CO5085	Học sâu và ứng dụng trong thị giác máy tính	3.0		
662		CO5087	Cách tiếp cận hiện đại trong xử lý ngôn ngữ tự nhiên	3.0		
663		CO5095	Kiến trúc hệ thống hiện đại	3.0		
664		CO5097	Cơ sở Toán cho Khoa Học Máy Tính	3.0		
665		CO5101	Thực tập tốt nghiệp thạc sĩ MIS	3.0		
666		CO5105	Quản lý qui trình nghiệp vụ	3.0		
667		CO5107	Thực tập 1	3.0		
668		CO5109	Thực tập 2	3.0		
669		CO5113	Kho dữ liệu và hệ hỗ trợ quyết định	3.0		
670		CO5115	Giải thuật nâng cao	3.0		
671		CO5117	Khai phá dữ liệu	3.0		
672		CO5119	Hệ thống thông minh	3.0		
673		CO5125	Xử lý ngôn ngữ tự nhiên	3.0		
674		CO5135	Dữ liệu lớn	3.0		
675		CO5161	Mật mã học Ứng dụng	3.0		
676		CO5165	Quản lý dữ liệu doanh nghiệp	3.0		
677		CO5167	Trí tuệ kinh doanh	3.0		
678		CO5173	Kỹ thuật dữ liệu	3.0		
679		CO5175	Học máy và Ứng dụng	3.0		
680		CO5177	Nền tảng lập trình cho phân tích và trực quan dữ liệu	3.0		
681		CO5185	Kiến trúc phần mềm	3.0		
682		CO5317	Mô hình ngôn ngữ lớn	3.0		
683		CO6021	Đề án tốt nghiệp	9.0		
684		CO6023	Chuyên đề nghiên cứu trước luận văn	15.0		
685		CO6025	Luận văn thạc sĩ nghiên cứu	15.0		
686		CO6027	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 1	9.0		
687		CO6029	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 2	15.0		
688		CO6031	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 3	15.0		
689		CO6033	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 4	15.0		
690		CO6035	Đề án tốt nghiệp	9.0		
691		CO6037	Chuyên đề nghiên cứu trước luận văn	15.0		
692		CO6039	Luận văn thạc sĩ nghiên cứu	15.0		
693		CO6041	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 1	9.0		
694		CO6043	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 2	15.0		
695		CO6045	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 3	15.0		
696		CO6047	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 4	15.0		
697		CO6049	Đề án tốt nghiệp	9.0		
698		CO6051	Chuyên đề nghiên cứu trước luận văn	15.0		
699		CO6053	Luận văn thạc sĩ nghiên cứu	15.0		
700		CO6055	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 1	9.0		
701		CO6057	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 2	15.0		
702		CO6059	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 3	15.0		
703		CO6061	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 4	15.0		
704		CO7265	Tiểu luận tổng quan	0.0		
705		CO7267	Chuyên đề tiến sĩ - phần 1	0.0		
706		CO7269	Chuyên đề tiến sĩ - phần 2	0.0		
707		CO7271	Luận án tiến sĩ - chuẩn bị	12.0		
708		CO7273	Luận án tiến sĩ - phần 1	15.0		
709		CO7275	Luận án tiến sĩ - phần 2	15.0		
710		CO7277	Luận án tiến sĩ - phần 3	15.0		
711		CO7279	Luận án tiến sĩ - phần 4	15.0		
712		CO7281	Luận án tiến sĩ - phần 5	15.0		
713		EE1031	Đồ án bs kỹ thuật số	1.0		
714		EE2023	Thực tập điện tử 1	1.0		
715		EE2025	Thực tập điện 1	1.0		
716		EE2045	Đồ án bs vi xử lý	1.0		
717		EE2057	Đồ án 1 (Kt ĐtVt & Ktđ)	1.0		
718		EE2109	Thực tập công nhân	2.0		
719		EE2119	Thực tập công nhân	2.0		
720		EE2409	Cơ sở trường điện từ	3.0		
721		EE2421	Đồ án cơ sở ngành	1.0		
722		EE3003	Thiết kế hệ thống nhúng	3.0		
723		EE3011	Mạch điện tử thông tin	3.0		
724		EE3015	Kỹthuật hệthống viễnthôg	3.0		
725		EE3021	Thực tập điện tử 2	1.0		
726		EE3023	Thực tập điện 2	1.0		
727		EE3025	Kỹ thuật siêu cao tần	3.0		
728		EE3031	Lập trình hệ thống nhúng	3.0		
729		EE3035	Xử lý ảnh	3.0		
730		EE3037	Điện tử y sinh	3.0		
731		EE3041	Xl tín hiệu số với FPGA	3.0		
732		EE3043	Cấu trúc máy tính	3.0		
733		EE3061	Đồ án	1.0		
734		EE3067	Hệ thống điềukhiển nhúng	3.0		
735		EE3077	Thị giác máy	3.0		
736		EE3079	Điện tử công suất ứd	3.0		
737		EE3085	Mạng viễn thông	3.0		
738		EE3101	Kỹthuật t/kiệm &sd hqđn	3.0		
739		EE3107	Thông tin di động	3.0		
740		EE3117	Thiết kế vi mạch số	3.0		
741		EE3121	Thiết kế vi mạch tt & hh	3.0		
742		EE3127	Anten-truyềnsóng vôtuyến	3.0		
743		EE3131	Hệ thống năng lượng xanh	3.0		
744		EE3133	Thiết bị điện trong ppđ	3.0		
745		EE3145	Kỹ thuật ra quyết định	3.0		
746		EE3151	Đồ án	1.0		
747		EE3165	Thiet Ke Vi Mach	3.0		
748		EE3167	Thiết kế & pt ứ/dụng IoT	3.0		
749		EE3169	Máy học cơ bản và ứ/dụng	3.0		
750		EE3171	IoT trg c/nghiệp &d/dụng	3.0		
751		EE3177	Chuyên đề đ/tử-viễnthông	3.0		
752		EE3181	Đồ án 1 (Kỹ thuật điện)	1.0		
753		EE3183	Đồ án 1 (Kt điện tử -vt)	1.0		
754		EE3185	Đồ án 1 (Kt đ/khiển &tđh	1.0		
755		EE3207	Thiết kế vi mạch tương tự	3.0		
756		EE3211	Đồ án 1 (Thiết kế vi mạch)	1.0		
757		EE3217	Trí tuệ nhân tạo trong thiết kế vi mạch	3.0		
758		EE3425	Thiết kế vi mạch	3.0		
759		EE3427	Thiết kế hệ thống nhúng	3.0		
760		EE4007	Đồ án 2 (ktđ)	2.0		
761		EE4009	Đồ án 2 (đth)	2.0		
762		EE4011	Đồ án 2 (đvt)	2.0		
763		EE4057	Đồ án cơ sở ngành	2.0		
764		EE4063	Hệ thống c/cấp điện (PBL	3.0		
765		EE4065	Nhàmáy điện&trạm b/á(PBL	3.0		
766		EE4069	Đồ án cơ sở ngành	2.0		
767		EE4113	Đồ án 2 (Ktđ & Ktđt-Vt)	2.0		
768		EE4115	Đồ án 2 (Ktđ & Tđh)	2.0		
769		EE4117	Đồ án 2 (Kt ĐtVt & Ktđ)	2.0		
770		EE4119	Đồ án 2 (Kt ĐtVt & Tđh)	2.0		
771		EE4121	Đồ án 2 (Tđh & Ktđ)	2.0		
772		EE4123	Đồ án 2 (Tđh & Vt)	2.0		
773		EE4201	Đồ án tốt nghiệp (Ktd&Vt	4.0		
774		EE4203	Đồ án tốt nghiệp (Ktđ&Tđ	4.0		
775		EE4205	Đồ án tốt nghiệp (Vt&Ktđ	4.0		
776		EE4207	Đồ án tốt nghiệp (Vt&Tđh	4.0		
777		EE4209	Đồ án tốt nghiệp (Tđ&Ktđ	4.0		
778		EE4211	Đồ án tốt nghiệp (Tđh&Vt	4.0		
779		EE4311	Đề cương luận văn tn	0.0		
780		EE4313	Luận văn tốt nghiệp (ktd	9.0		
781		EE4315	Đề cương luận văn tn	0.0		
782		EE4317	Luận văn tốt nghiệp (ktd	9.0		
783		EE4321	Đề cương luận văn tn	0.0		
784		EE4323	Luận văn tốt nghiệp(đktđ	9.0		
785		EE4325	Đề cương luận văn tn	0.0		
786		EE4327	Luận văn tốt nghiệp(đktđ	9.0		
787		EE4331	Đề cương luận văn tn	0.0		
788		EE4333	Luận văn tốt nghiệp(dttt	9.0		
789		EE4335	Đề cương luận văn tn	0.0		
790		EE4337	Luận văn tốt nghiệp(dttt	9.0		
791		EE4341	Đề cương luận văn tn	0.0		
792		EE4343	Luận văn tốt nghiệp	9.0		
793		EE4345	Đồ án 2 (Thiết kế vi mạch)	2.0		
794		EE4347	Đồ án tốt nghiệp (ktd)	4.0		
795		EE4349	Đồ án tốt nghiệp (Thiết kế vi mạch)	4.0		
796		EE4357	Đồ án tốt nghiệp (tdh)	4.0		
797		EE4367	Đồ án tốt nghiệp (dvt)	4.0		
798		EE4377	Đồ án tốt nghiệp (tt)	4.0		
799		EE4405	Đồ án chuyên ngành	2.0		
800		EE4451	Thiết kế vi mạch số	3.0		
801		EE4453	Thiết kế vimạch tương tự	3.0		
802		EE5001	Đồ án chuyên ngành	2.0		
803		EE5003	Đồ án chuyên ngành	2.0		
804		EE5017	Luận văn tốt nghiệp	9.0		
805		EE5021	Luận văn tốt nghiệp	4.0		
806		EE5027	Luận văn tốt nghiệp	9.0		
807		EE5029	Luận văn tốt nghiệp	4.0		
808		EE5109	Quản lý và vận hành hệ thống điện	3.0		
809		EE5113	Máy học và ứng dụng	3.0		
810		EE5119	Cấu trúc và vận hành thị trường điện	3.0		
811		EE5125	Kinh tế và quy hoạch hệ thống điện	2.0		
812		EE5127	Quản lý chất lượng điện năng	2.0		
813		EE5135	Những thách thức trong Hệ thống điện hiện đại	3.0		
814		EE5137	Chuyên đề kỹ thuật điện	3.0		
815		EE5143	Thực tập 2	3.0		
816		EE5145	Phương pháp tính trong kỹ thuật điện	2.0		
817		EE5147	Điện tử công suất trong hệ thống điện gió và mặt trời	2.0		
818		EE5149	Lưới điện thông minh	2.0		
819		EE5153	Thực tập 1	3.0		
820		EE5155	Thực tập 2	3.0		
821		EE5159	Chuyên đề nghiên cứu 2	3.0		
822		EE5161	Chuyên đề nghiên cứu 3	3.0		
823		EE5163	Thực tập 1	3.0		
824		EE5165	Thực tập 2	3.0		
825		EE5167	Thực tập ngoài trường	3.0		
826		EE5173	Chuyên đề 2	3.0		
827		EE5175	Chuyên đề 3	3.0		
828		EE5179	Chuyên đề nghiên cứu 2	3.0		
829		EE5187	Điện tử Công suất nâng cao	3.0		
830		EE5191	Hệ thống thông tin nâng cao	3.0		
831		EE5193	Xử lý số tín hiệu nâng cao	3.0		
832		EE5199	Hệ thống điều khiển số	3.0		
833		EE5201	Xử lý số tín hiệu	3.0		
834		EE5205	Thị giác máy tính	3.0		
835		EE5207	Kiến trúc máy tính nâng cao	3.0		
836		EE5209	Phân tích và thiết kế mạch điện tử	3.0		
837		EE5211	Mạch tích hợp siêu cao tần	3.0		
838		EE5213	Kiểm định thiết kế ASIC	3.0		
839		EE5215	Thiết kế hệ thống trên chip nâng cao	3.0		
840		EE5217	Sản xuất, kiểm tra và đóng gói	3.0		
841		EE5237	Thực tập 1	3.0		
842		EE5245	Tối ưu hoá vận hành hệ thống điện	3.0		
843		EE5249	Thị trường điện	3.0		
844		EE5283	Thiết kế hệ thống nhúng nâng cao	3.0		
845		EE5285	Xử lý ảnh và video	3.0		
846		EE5287	Phương pháp tối ưu và ứng dụng	3.0		
847		EE5295	Thiết kế vi mạch tương tự nâng cao	3.0		
848		EE5301	Mạng thông tin dữ liệu	3.0		
849		EE5303	Thiết kế vi mạch số nâng cao	3.0		
850		EE5317	Số học máy tính: Giải thuật và thiết kế phần cứng	3.0		
851		EE5319	Điều khiển phi tuyến	3.0		
852		EE5321	Điều khiển tối ưu	3.0		
853		EE5323	Động lực học và điều khiển robot	3.0		
854		EE5325	Mô hình hóa và nhận dạng hệ thống	3.0		
855		EE5337	Vi điều khiển và Hệ thống nhúng	3.0		
856		EE5339	SCADA: Phân tích và thiết kế	3.0		
857		EE6051	Đề án tốt nghiệp	9.0		
858		EE6053	Chuyên đề nghiên cứu trước luận văn	15.0		
859		EE6055	Luận văn thạc sĩ nghiên cứu	15.0		
860		EE6057	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 1	9.0		
861		EE6059	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 2	15.0		
862		EE6061	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 3	15.0		
863		EE6063	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 4	15.0		
864		EE6065	Đề án tốt nghiệp	9.0		
865		EE6067	Chuyên đề nghiên cứu trước luận văn	15.0		
866		EE6069	Luận văn thạc sĩ nghiên cứu	15.0		
867		EE6071	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 1	9.0		
868		EE6073	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 2	15.0		
869		EE6075	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 3	15.0		
870		EE6077	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 4	15.0		
871		EE6079	Đề án tốt nghiệp	9.0		
872		EE6081	Chuyên đề nghiên cứu trước luận văn	15.0		
873		EE6083	Luận văn thạc sĩ nghiên cứu	15.0		
874		EE6085	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 1	9.0		
875		EE6087	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 2	15.0		
876		EE6089	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 3	15.0		
877		EE6091	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 4	15.0		
878		EE6093	Đề án tốt nghiệp	9.0		
879		EE6095	Chuyên đề nghiên cứu trước luận văn	15.0		
880		EE6097	Luận văn thạc sĩ nghiên cứu	15.0		
881		EE6099	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 1	9.0		
882		EE6101	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 2	15.0		
883		EE6103	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 3	15.0		
884		EE6105	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 4	15.0		
885		EE6107	Đề án tốt nghiệp	9.0		
886		EE6109	Chuyên đề nghiên cứu trước luận văn	15.0		
887		EE6111	Luận văn thạc sĩ nghiên cứu	15.0		
888		EE6113	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 1	9.0		
889		EE6115	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 2	15.0		
890		EE6117	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 3	15.0		
891		EE6119	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 4	15.0		
892		EE6121	Đề án tốt nghiệp	9.0		
893		EE6123	Chuyên đề nghiên cứu trước luận văn	15.0		
894		EE6125	Luận văn thạc sĩ nghiên cứu	15.0		
895		EE6127	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 1	9.0		
896		EE6129	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 2	15.0		
897		EE6131	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 3	15.0		
898		EE6133	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 4	15.0		
899		EE7101	Tiểu luận tổng quan	0.0		
900		EE7103	Chuyên đề tiến sĩ - phần 1	0.0		
901		EE7105	Chuyên đề tiến sĩ - phần 2	0.0		
902		EE7107	Luận án tiến sĩ - chuẩn bị	12.0		
903		EE7109	Luận án tiến sĩ - phần 1	15.0		
904		EE7111	Luận án tiến sĩ - phần 2	15.0		
905		EE7113	Luận án tiến sĩ - phần 3	15.0		
906		EE7115	Luận án tiến sĩ - phần 4	15.0		
907		EE7117	Luận án tiến sĩ - phần 5	15.0		
908		EE7119	Tiểu luận tổng quan	0.0		
909		EE7121	Chuyên đề tiến sĩ - phần 1	0.0		
910		EE7123	Chuyên đề tiến sĩ - phần 2	0.0		
911		EE7125	Luận án tiến sĩ - chuẩn bị	12.0		
912		EE7127	Luận án tiến sĩ - phần 1	15.0		
913		EE7129	Luận án tiến sĩ - phần 2	15.0		
914		EE7131	Luận án tiến sĩ - phần 3	15.0		
915		EE7133	Luận án tiến sĩ - phần 4	15.0		
916		EE7135	Luận án tiến sĩ - phần 5	15.0		
917		EE7137	Tiểu luận tổng quan	0.0		
918		EE7139	Chuyên đề tiến sĩ - phần 1	0.0		
919		EE7141	Chuyên đề tiến sĩ - phần 2	0.0		
920		EE7143	Luận án tiến sĩ - chuẩn bị	12.0		
921		EE7145	Luận án tiến sĩ - phần 1	15.0		
922		EE7147	Luận án tiến sĩ - phần 2	15.0		
923		EE7149	Luận án tiến sĩ - phần 3	15.0		
924		EE7151	Luận án tiến sĩ - phần 4	15.0		
925		EE7153	Luận án tiến sĩ - phần 5	15.0		
926		EE7155	Tiểu luận tổng quan	0.0		
927		EE7157	Chuyên đề tiến sĩ - phần 1	0.0		
